               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065711,            0.024416,                   0,             0.69859,             0.74469,             0.76663,             0.47795,            0.039198,           0.0097012,                   0,           0.0033185,           0.0033185,            0.070134
                   1,            0.044601,            0.018271,                   0,             0.73167,             0.80778,             0.81983,             0.53579,            0.031776,           0.0089008,                   0,           0.0065201,           0.0065201,            0.040002
                   2,             0.04126,            0.018319,                   0,               0.688,             0.73619,             0.74164,             0.39577,            0.035896,            0.010459,                   0,           0.0095897,           0.0095897,           0.0097385
                   3,            0.038412,             0.01917,                   0,             0.65688,             0.70237,               0.716,             0.42934,            0.029848,            0.010606,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.035359,            0.018937,                   0,             0.76048,             0.78579,             0.82711,             0.49951,            0.027831,           0.0096636,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.034006,            0.018303,                   0,             0.74939,             0.79256,             0.81316,             0.49632,            0.027588,           0.0097039,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.03281,            0.017997,                   0,             0.80581,             0.79369,             0.84121,              0.5285,            0.027221,           0.0094948,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.030983,            0.017527,                   0,             0.77816,             0.82257,             0.85554,              0.5475,            0.025116,           0.0093347,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.029979,            0.017259,                   0,             0.78441,             0.81627,             0.84933,              0.5562,            0.024987,           0.0091013,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.029187,            0.016875,                   0,             0.78022,             0.82446,             0.85059,             0.53022,            0.025889,           0.0093824,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.028447,            0.016468,                   0,             0.81124,             0.84667,             0.86943,             0.56803,            0.024465,           0.0086608,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.02775,            0.016068,                   0,             0.80356,             0.83766,             0.86502,             0.58467,             0.02366,           0.0087439,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.027284,            0.015876,                   0,             0.81209,             0.84291,             0.88199,             0.59553,            0.024227,           0.0086629,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.026622,            0.015455,                   0,             0.81113,             0.85701,               0.886,             0.60098,            0.023485,           0.0086417,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.025985,            0.015324,                   0,             0.83372,             0.85921,             0.89643,             0.60767,            0.023289,           0.0085015,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.025772,            0.015193,                   0,             0.83257,             0.86246,             0.89824,              0.6319,            0.023206,           0.0083348,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.025026,            0.015037,                   0,             0.82931,             0.85451,             0.88424,              0.5983,            0.023262,           0.0085581,                   0,             0.00703,             0.00703,             0.00703
